9649	4064	2148000.0
8465	4429	2313000.0
8453	4431	2314000.0
8439	4434	2315000.0
7047	4240	2727000.0
7034	4245	2728000.0
7299	4752	2911000.0
7305	4758	2912000.0
7308	4763	2913000.0
7310	4766	2914000.0
6223	5741	104000.0
6237	5742	105000.0
6251	5743	106000.0
7028	4428	766000.0
7027	4419	767000.0
7027	4412	768000.0
7027	4408	769000.0
7546	4433	1232000.0
7556	4443	1233000.0
7566	4453	1234000.0
8972	3859	1455000.0
8985	3853	1456000.0
8998	3847	1457000.0
10014	3301	1624000.0
10028	3296	1625000.0
10041	3292	1626000.0
10139	3202	1661000.0
10149	3192	1662000.0
10162	3185	1663000.0
10174	3178	1664000.0
11291	3414	1813000.0
11295	3416	1814000.0
11296	3416	1815000.0
9689	4050	2145000.0
9676	4055	2146000.0
9662	4059	2147000.0
9649	4064	2148000.0
8465	4429	2313000.0
8453	4431	2314000.0
8439	4434	2315000.0
7047	4240	2727000.0
7034	4245	2728000.0
7299	4752	2911000.0
7305	4758	2912000.0
7308	4763	2913000.0
7310	4766	2914000.0
6223	5741	104000.0
6237	5742	105000.0
6251	5743	106000.0
7028	4428	766000.0
7027	4419	767000.0
7027	4412	768000.0
7027	4408	769000.0
7546	4433	1232000.0
7556	4443	1233000.0
7566	4453	1234000.0
8972	3859	1455000.0
8985	3853	1456000.0
8998	3847	1457000.0
10014	3301	1624000.0
10028	3296	1625000.0
10041	3292	1626000.0
10139	3202	1661000.0
10149	3192	1662000.0
10162	3185	1663000.0
10174	3178	1664000.0
11291	3414	1813000.0
11295	3416	1814000.0
11296	3416	1815000.0
9689	4050	2145000.0
9676	4055	2146000.0
9662	4059	2147000.0
9649	4064	2148000.0
8465	4429	2313000.0
8453	4431	2314000.0
8439	4434	2315000.0
7047	4240	2727000.0
7034	4245	2728000.0
7299	4752	2911000.0
7305	4758	2912000.0
7308	4763	2913000.0
7310	4766	2914000.0
